Term,Year,level,Country_code,Country_name,Region_code,Region_name,Old_LA_code,New_LA_code,LA_name,School_type,Estab,LAEstab,URN,Academy_type,Academy_open_date,All_through,num_schools,enrolments,sess_possible,sess_overall,sess_authorised,sess_unauthorised,sess_overall_percent,sess_authorised_percent,sess_unauthorised_percent,enrolments_pa_10_exact,enrolments_pa_10_exact_percent,sess_auth_illness,sess_auth_appointments,sess_auth_religious,sess_auth_study,sess_auth_traveller,sess_auth_holiday,sess_auth_ext_holiday,sess_auth_excluded,sess_auth_other,sess_auth_totalreasons,sess_unauth_holiday,sess_unauth_late,sess_unauth_other,sess_unauth_noyet,sess_unauth_totalreasons,sess_overall_totalreasons
Autumn,201718,national,E92000001,England,,,,,,State-funded primary and secondary,,,,,,,20104,6727335,925122896,40242546,29673756,10568790,4.3,3.2,1.1,772750,11.5,23262719,2410670,101352,43259,75573,540135,.,678908,2314663,29427279,3124043,572903,6301126,494281,10492353,39919632
Autumn,201718,national,E92000001,England,,,,,,State-funded primary,,,,,,,16739,3857920,533136694,20721644,15513601,5208043,3.9,2.9,1,389935,10.1,12403778,1153829,63806,600,55607,402755,.,112794,1108107,15301276,2165655,385505,2365041,225852,5142053,20443329
Autumn,201718,national,E92000001,England,,,,,,State-funded secondary,,,,,,,3365,2869420,391986202,19520902,14160155,5360747,5,3.6,1.4,382815,13.3,10858941,1256841,37546,42659,19966,137380,.,566114,1206556,14126003,958388,187398,3936085,268429,5350300,19476303
Autumn,201617,national,E92000001,England,,,,,,State-funded primary and secondary,,,,,,,20107,6613550,901335783,39142265,29689402,9452863,4.3,3.3,1,755810,11.4,22721499,2396027,996761,39744,82215,543325,.,608183,2094261,29482015,2685109,545931,5629751,535121,9395912,38877927
Autumn,201617,national,E92000001,England,,,,,,State-funded primary,,,,,,,16736,3796140,519605938,20159858,15501295,4658563,3.9,3,0.9,378925,10,12044316,1143726,599300,667,61630,403409,.,107329,966520,15326897,1864331,356709,2146825,240825,4608690,19935587
Autumn,201617,national,E92000001,England,,,,,,State-funded secondary,,,,,,,3371,2817405,381729845,18982407,14188107,4794300,5,3.7,1.3,376885,13.4,10677183,1252301,397461,39077,20585,139916,.,500854,1127741,14155118,820778,189222,3482926,294296,4787222,18942340
Autumn,201516,national,E92000001,England,,,,,,State-funded primary and secondary,,,,,,,20092,6493485,894127463,36296790,28034167,8262623,4.1,3.1,0.9,672020,10.3,21266061,2425032,1031782,42285,84617,516897,.,562579,1984821,27914074,2225488,528968,4952690,523415,8230561,36144635
Autumn,201516,national,E92000001,England,,,,,,State-funded primary,,,,,,,16723,3713775,512368309,18594635,14595905,3998730,3.6,2.8,0.8,334720,9,11288779,1142310,620421,488,62066,385676,.,97763,910511,14508014,1535796,337648,1879521,222974,3975939,18483953
Autumn,201516,national,E92000001,England,,,,,,State-funded secondary,,,,,,,3369,2779710,381759154,17702155,13438262,4263893,4.6,3.5,1.1,337300,12.1,9977282,1282722,411361,41797,22551,131221,.,464816,1074310,13406060,689692,191320,3073169,300441,4254622,17660682
Autumn,201415,national,E92000001,England,,,,,,State-funded primary and secondary,,,,,,,20053,6385955,897473992,39607697,31381362,8226335,4.4,3.5,0.9,750975,11.8,25398814,2531489,172610,49733,87444,567279,.,515818,2009584,31332771,2039751,521387,4938302,713240,8212680,39545451
